feature,coefficient
num__cons.price.idx,1.521488337539034
cat__month_mar,1.4858858804334392
num__nr.employed,0.8349369098708476
cat__poutcome_success,0.495256953492302
cat__contact_cellular,0.4934795149112669
cat__job_retired,0.45370404455792757
cat__month_aug,0.41890958955875646
cat__month_dec,0.38513739721509327
num__euribor3m,0.3034924193740044
cat__job_student,0.22621462021869873
cat__education_illiterate,0.21801793082260765
num__cons.conf.idx,0.20019646916931863
cat__job_admin.,0.11492163858523816
cat__month_sep,0.10243677114610353
cat__day_of_week_wed,0.10199223278771319
cat__education_university.degree,0.10192166998374107
cat__marital_single,0.09774556373941111
cat__marital_married,0.061542355840138306
cat__month_oct,0.05239059334639457
cat__job_technician,0.04229521058011551
cat__loan_no,0.040168360737010654
cat__education_basic.6y,0.038158443634242416
cat__day_of_week_fri,0.017175066590617714
cat__default_no,0.0037508029199688456
cat__job_blue-collar,-2.969958010510111e-05
cat__education_high.school,-0.004244750072364662
cat__day_of_week_thu,-0.011047455892093255
cat__housing_yes,-0.020274018513236715
num__pdays,-0.020858916098744167
cat__housing_no,-0.031168944556897914
cat__job_entrepreneur,-0.03158623302456719
num__age,-0.03358511886220996
cat__job_management,-0.03990208902233659
cat__job_services,-0.04916255915307532
cat__default_yes,-0.055193765988468216
cat__day_of_week_tue,-0.05999803096599072
cat__education_professional.course,-0.091472310562875
cat__loan_yes,-0.09161132380634358
cat__day_of_week_mon,-0.0995647755900305
cat__education_basic.4y,-0.1510693763664713
cat__job_self-employed,-0.15461244630200738
cat__education_basic.9y,-0.16275457050891157
num__campaign,-0.18127682458027702
cat__month_jul,-0.18790835355603028
num__previous,-0.2033470014647551
cat__marital_divorced,-0.2107308826491739
cat__month_apr,-0.22062138846456644
num__never_contacted,-0.22658888432261193
cat__job_housemaid,-0.2538293208065707
cat__poutcome_nonexistent,-0.2702718696860118
cat__poutcome_failure,-0.2764280468753895
cat__job_unemployed,-0.3594561291231349
cat__month_may,-0.49353593684397873
cat__contact_telephone,-0.5449224779808175
cat__month_nov,-0.581607965248627
cat__month_jun,-1.0125295506565066
num__emp.var.rate,-2.77360801006022
