feature,importance
num__euribor3m,0.13214999500106156
num__campaign,0.08466622449398782
num__nr.employed,0.07220493575026954
num__emp.var.rate,0.05666134484961046
num__age,0.04071242815804342
num__cons.conf.idx,0.03544841386154334
cat__contact_telephone,0.028551004723970635
cat__day_of_week_fri,0.027006258989506354
cat__day_of_week_thu,0.026811018754554355
cat__contact_cellular,0.025945852349067496
cat__day_of_week_wed,0.025563848742482763
cat__day_of_week_mon,0.02538850578949149
num__cons.price.idx,0.025104988345157588
num__never_contacted,0.023026495240550254
cat__job_admin.,0.022043644694874725
cat__education_university.degree,0.021109176992670377
cat__job_blue-collar,0.02078201842607374
cat__day_of_week_tue,0.02074077900763585
cat__month_may,0.016385509885303542
cat__housing_yes,0.015426810292693872
cat__marital_married,0.015249074523532559
cat__housing_no,0.014974992182217744
cat__education_high.school,0.013977457421484927
cat__poutcome_success,0.01386484636808379
cat__education_basic.9y,0.01372327681267941
cat__marital_single,0.013321960975811245
num__previous,0.012319088976560321
cat__job_technician,0.012306851404866695
cat__loan_no,0.012200256535500126
cat__loan_yes,0.011757142361653337
cat__marital_divorced,0.010201185556094824
cat__job_services,0.00954400534575744
cat__job_management,0.00899646597749282
cat__education_professional.course,0.00854315808468265
cat__month_oct,0.0073941851121738355
cat__poutcome_nonexistent,0.007361495261243658
cat__education_basic.4y,0.006892600308601257
cat__education_basic.6y,0.005922906209916432
cat__month_apr,0.005640289290275157
num__pdays,0.005210463000451107
cat__job_entrepreneur,0.005173728472352233
cat__poutcome_failure,0.0049701707120354465
cat__job_retired,0.004723494611818587
cat__job_self-employed,0.0040811597755995455
cat__month_mar,0.0038441208397844246
cat__job_student,0.0031565512917671075
cat__month_jul,0.0031141810428314204
cat__month_jun,0.0028921319660748
cat__month_aug,0.002792101901976913
cat__job_housemaid,0.0027130527239852026
cat__month_sep,0.002469139875705576
cat__job_unemployed,0.0023863638114487323
cat__month_nov,0.002218385481331378
cat__month_dec,0.0002758228178192593
cat__education_illiterate,5.863861784088505e-05
cat__default_yes,0.0
cat__default_no,0.0
